date,entity,currency,account_type,balance
2025-01-01,Entity A,USD,payable,1002370.56
2025-01-01,Entity A,EUR,payable,1027718.82
2025-01-01,Entity A,GBP,payable,960360.17
2025-01-01,Entity A,JPY,payable,1042266.83
2025-01-01,Entity A,CAD,payable,961724.71
2025-01-01,Entity B,USD,payable,970642.92
2025-01-01,Entity B,EUR,payable,1031408.18
2025-01-01,Entity B,GBP,payable,1003554.02
2025-01-01,Entity B,JPY,payable,965962.03
2025-01-01,Entity B,CAD,payable,1011411.63
2025-01-01,Entity C,USD,payable,976169.11
2025-01-01,Entity C,EUR,payable,1023196.85
2025-01-01,Entity C,GBP,payable,975176.49
2025-01-01,Entity C,JPY,payable,951335.96
2025-01-01,Entity C,CAD,payable,973798.42
2025-01-02,Entity A,USD,payable,965668.16
2025-01-02,Entity A,EUR,payable,1005356.92
2025-01-02,Entity A,GBP,payable,1014437.6
2025-01-02,Entity A,JPY,payable,1052834.6
2025-01-02,Entity A,CAD,payable,1049620.66
2025-01-02,Entity B,USD,payable,1046091.15
2025-01-02,Entity B,EUR,payable,983041.94
2025-01-02,Entity B,GBP,payable,971250.66
2025-01-02,Entity B,JPY,payable,1031573.0
2025-01-02,Entity B,CAD,payable,1017886.82
2025-01-02,Entity C,USD,payable,1038344.68
2025-01-02,Entity C,EUR,payable,992330.27
2025-01-02,Entity C,GBP,payable,1012429.2
2025-01-02,Entity C,JPY,payable,974124.14
2025-01-02,Entity C,CAD,payable,1038171.49
2025-01-03,Entity A,USD,payable,999564.2
2025-01-03,Entity A,EUR,payable,976833.18
2025-01-03,Entity A,GBP,payable,1040041.42
2025-01-03,Entity A,JPY,payable,1001341.06
2025-01-03,Entity A,CAD,payable,1052306.08
2025-01-03,Entity B,USD,payable,1011904.23
2025-01-03,Entity B,EUR,payable,1033325.25
2025-01-03,Entity B,GBP,payable,1050139.41
2025-01-03,Entity B,JPY,payable,1035413.36
2025-01-03,Entity B,CAD,payable,1063375.56
2025-01-03,Entity C,USD,payable,969969.33
