date,entity,currency,account_type,balance
2025-01-01,Entity A,USD,payable,1043007.04
2025-01-01,Entity A,EUR,payable,945251.82
2025-01-01,Entity A,GBP,payable,1061919.99
2025-01-01,Entity A,JPY,payable,779700.64
2025-01-01,Entity A,CAD,payable,986855.26
2025-01-01,Entity B,USD,payable,1024127.5
2025-01-01,Entity B,EUR,payable,978235.44
2025-01-01,Entity B,GBP,payable,993488.28
2025-01-01,Entity B,JPY,payable,1001636.77
2025-01-01,Entity B,CAD,payable,959912.5
2025-01-01,Entity C,USD,payable,1029632.97
2025-01-01,Entity C,EUR,payable,979471.46
2025-01-01,Entity C,GBP,payable,990856.0
2025-01-01,Entity C,JPY,payable,960226.03
2025-01-01,Entity C,CAD,payable,897506.65
2025-01-02,Entity A,USD,payable,1071255.53
2025-01-02,Entity A,EUR,payable,1175401.26
2025-01-02,Entity A,GBP,payable,1110280.81
2025-01-02,Entity A,JPY,payable,1078126.23
2025-01-02,Entity A,CAD,payable,1068381.01
2025-01-02,Entity B,USD,payable,1079795.28
2025-01-02,Entity B,EUR,payable,1100781.41
2025-01-02,Entity B,GBP,payable,726865.85
2025-01-02,Entity B,JPY,payable,1123469.51
2025-01-02,Entity B,CAD,payable,1083726.91
2025-01-02,Entity C,USD,payable,1140799.45
2025-01-02,Entity C,EUR,payable,1069388.84
2025-01-02,Entity C,GBP,payable,1086586.03
2025-01-02,Entity C,JPY,payable,1118130.78
2025-01-02,Entity C,CAD,payable,1049207.46
2025-01-03,Entity A,USD,payable,1034643.76
2025-01-03,Entity A,EUR,payable,1131329.12
2025-01-03,Entity A,GBP,payable,1160652.94
2025-01-03,Entity A,JPY,payable,1067048.34
2025-01-03,Entity A,CAD,payable,1147914.97
2025-01-03,Entity B,USD,payable,1148184.83
2025-01-03,Entity B,EUR,payable,1030166.32
2025-01-03,Entity B,GBP,payable,1083654.63
2025-01-03,Entity B,JPY,payable,1105273.02
2025-01-03,Entity B,CAD,payable,1113921.21
2025-01-03,Entity C,USD,payable,1091380.8
2025-01-03,Entity C,EUR,payable,1089226.06
2025-01-03,Entity C,GBP,payable,1187965.49
2025-01-03,Entity C,JPY,payable,1116803.81
2025-01-03,Entity C,CAD,payable,1093304.42
2025-01-04,Entity A,USD,payable,1114954.03
2025-01-04,Entity A,EUR,payable,1138084.45
2025-01-04,Entity A,GBP,payable,1118665.87
2025-01-04,Entity A,JPY,payable,1108371.71
2025-01-04,Entity A,CAD,payable,1090600.15
2025-01-04,Entity B,USD,payable,1090115.58
2025-01-04,Entity B,EUR,payable,1092688.48
2025-01-04,Entity B,GBP,payable,1130153.4
2025-01-04,Entity B,JPY,payable,1076833.61
2025-01-04,Entity B,CAD,payable,1132331.58
2025-01-04,Entity C,USD,payable,1173120.6
2025-01-04,Entity C,EUR,payable,1129629.11
2025-01-04,Entity C,GBP,payable,1101817.39
2025-01-04,Entity C,JPY,payable,1064675.74
2025-01-04,Entity C,CAD,payable,1179725.08
2025-01-05,Entity A,USD,payable,1041837.99
2025-01-05,Entity A,EUR,payable,1122581.18
2025-01-05,Entity A,GBP,payable,1114179.41
2025-01-05,Entity A,JPY,payable,1079167.96
2025-01-05,Entity A,CAD,payable,1078119.55
2025-01-05,Entity B,USD,payable,1015210.25
2025-01-05,Entity B,EUR,payable,1101841.3
2025-01-05,Entity B,GBP,payable,1113435.75
